country,increased,total,cure,dead
波黑,1161,91539,56050,2812
巴林,133,87270,85463,341
丹麦,1605,85661,67934,858
肯尼亚,961,85130,56464,1484
阿尔及利亚,932,85084,54990,2464
利比亚,762,84849,55304,1212
巴拉圭,1003,84482,59465,1783
斯洛文尼亚,1775,81338,59469,1592
吉尔吉斯斯坦,420,73933,65589,1281
乌兹别克斯坦,96,73431,70712,611
爱尔兰,268,73066,23364,2074
马来西亚,1075,69095,57917,376
尼日利亚,122,67960,63839,1177
北马其顿,945,63890,40977,1825
立陶宛,0,62515,15077,519
新加坡,9,58239,58144,29
加纳,0,51667,50547,323
阿富汗,263,46718,37218,1841
阿尔巴尼亚,705,39719,19912,839
萨尔瓦多,0,39130,35839,1134
挪威,378,36969,17998,353
黑山,502,36351,25409,510
卢森堡,673,35802,26497,334
韩国,540,35703,28352,529
澳大利亚,16,27939,25618,908
芬兰,540,26422,18100,408
斯里兰卡,878,25760,19032,124
喀麦隆,42,24487,22177,441
乌干达,374,21409,9044,206
科特迪瓦,27,21361,21010,132
拉脱维亚,930,19307,1848,235
苏丹,209,18254,10493,1265
赞比亚,30,17730,17102,357
马达加斯加,0,17341,16657,251
塞内加尔,44,16217,15697,335
莫桑比克,96,15866,14014,132
安哥拉,68,15319,8139,351
纳米比亚,61,14477,13697,151
爱沙尼亚,450,13469,8182,123
几内亚,24,13167,12204,76
马尔代夫,21,13070,12001,47
刚果（金）,128,12987,11694,336
塔吉克斯坦,38,12269,11677,87
塞浦路斯,292,11175,2057,52
佛得角,51,10867,10422,106
牙买加,101,10864,6500,258
博茨瓦纳,0,10742,7912,34
马耳他,96,10197,8015,148
津巴布韦,95,10129,8643,277
海地,17,9313,8091,233
加蓬,25,9239,9089,60
毛里塔尼亚,153,8863,7780,179
古巴,75,8456,7714,136
叙利亚,86,8059,3689,426
巴哈马,2,7543,5934,163
安道尔,52,6842,5988,76
特立尼达和多巴哥,19,6704,5843,121
斯威士兰,13,6455,6032,122
乌拉圭,201,6225,4584,80
马拉维,12,6040,5471,185
卢旺达,46,5994,5575,50
伯利兹,0,5854,3151,148
尼加拉瓜,54,5838,4225,161
刚果（布）,0,5774,4988,94
吉布提,2,5682,5587,61
圭亚那,26,5449,4530,151
冰岛,35,5448,5216,27
苏里南,1,5320,5200,117
赤道几内亚,3,5156,5009,85
中非共和国,5,4918,1924,63
马里,75,4837,3263,161
索马里,74,4525,3480,121
泰国,13,4039,3832,60
冈比亚,22,3765,3609,123
贝宁,40,3055,2839,44
多哥,17,3014,2543,65
布基纳法索,79,3010,2667,68
几内亚比绍,0,2441,2327,44
塞拉利昂,3,2416,1838,74
也门,20,2217,1518,621
莱索托,8,2145,1278,44
新西兰,9,2069,1974,25
圣马力诺,64,1714,1356,46
乍得,5,1705,1539,102
尼日尔,54,1640,1227,76
利比里亚,0,1595,1343,83
越南,3,1361,1209,35
列支敦士登公国,21,1339,1169,17
蒙古,7,819,365,0
钻石号邮轮,0,712,659,13
布隆迪,0,689,575,1
巴布亚新几内亚,13,669,597,7
摩纳哥,4,621,563,3
科摩罗,2,613,586,7
厄立特里亚,0,577,498,0
坦桑尼亚,0,509,183,21
毛里求斯,3,508,465,10
不丹,1,415,386,0
柬埔寨,2,331,304,0
巴巴多斯,1,279,255,7
圣卢西亚,2,261,141,2
塞舌尔,0,183,162,0
文莱,0,151,145,3
安提瓜和巴布达,2,144,133,4
多米尼克,0,85,63,0
圣文森特和格林纳丁斯,0,85,80,0
斐济,0,42,33,2
格林纳达,0,41,30,0
老挝,0,39,26,0
马提尼克岛,5,37,0,1
东帝汶,1,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,0,22,19,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,1,0
瓦努阿图,0,1,0,0
