country,increased,total,cure,dead
塞内加尔,14,16089,15607,333
莫桑比克,88,15701,13729,131
安哥拉,36,15139,7851,348
纳米比亚,35,14380,13535,151
几内亚,22,13119,12045,76
马尔代夫,17,13011,11939,46
刚果（金）,70,12772,11585,333
爱沙尼亚,256,12308,7078,118
塔吉克斯坦,39,12194,11599,86
牙买加,94,10763,6219,257
佛得角,14,10761,10329,105
博茨瓦纳,484,10742,7912,34
塞浦路斯,182,10565,2057,49
津巴布韦,84,10034,8489,277
马耳他,121,9873,7665,137
海地,22,9294,8023,233
加蓬,23,9214,9066,60
毛里塔尼亚,54,8601,7732,177
古巴,51,8284,7631,135
叙利亚,90,7887,3560,417
巴哈马,24,7541,5889,163
安道尔,33,6745,5873,76
特立尼达和多巴哥,9,6669,5771,120
斯威士兰,9,6419,6006,122
马拉维,3,6028,5455,185
卢旺达,15,5934,5516,49
乌拉圭,141,5857,4357,77
伯利兹,111,5854,3151,148
尼加拉瓜,0,5784,4225,160
刚果（布）,0,5774,4988,94
吉布提,2,5679,5584,61
圭亚那,30,5406,4392,151
冰岛,11,5392,5179,26
苏里南,0,5312,5194,117
赤道几内亚,0,5153,5009,85
中非共和国,0,4913,1924,63
马里,22,4710,3206,156
索马里,0,4451,3417,113
泰国,10,4008,3811,60
冈比亚,8,3742,3601,123
贝宁,41,3015,2839,43
多哥,12,2974,2478,64
布基纳法索,30,2886,2593,68
几内亚比绍,19,2441,2327,44
塞拉利昂,1,2412,1836,74
也门,14,2191,1510,619
莱索托,0,2109,1278,44
新西兰,3,2059,1962,25
乍得,6,1688,1525,101
圣马力诺,26,1612,1299,46
利比里亚,0,1595,1343,83
尼日尔,32,1548,1210,72
越南,1,1347,1179,35
列支敦士登公国,17,1270,1088,16
蒙古,10,801,358,0
钻石号邮轮,0,712,659,13
布隆迪,7,688,575,1
巴布亚新几内亚,10,656,597,7
科摩罗,0,611,586,7
摩纳哥,1,609,556,3
厄立特里亚,0,577,498,0
坦桑尼亚,0,509,183,21
毛里求斯,3,504,456,10
不丹,14,410,381,0
柬埔寨,3,326,304,0
巴巴多斯,1,276,250,7
圣卢西亚,2,259,131,2
塞舌尔,10,183,162,0
文莱,0,150,145,3
安提瓜和巴布达,0,141,130,4
圣文森特和格林纳丁斯,0,85,79,0
多米尼克,0,85,63,0
斐济,4,42,33,2
格林纳达,0,41,30,0
老挝,0,39,26,0
马提尼克岛,5,37,0,1
东帝汶,0,30,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,0,22,19,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,1,0
瓦努阿图,0,1,0,0
