country,increased,total,cure,dead
新西兰,0,2096,2015,25
也门,1,2084,1384,606
圣马力诺,2,1934,1608,51
乍得,1,1771,1608,102
利比里亚,0,1676,1358,83
列支敦士登公国,52,1566,1351,20
越南,5,1402,1246,35
蒙古,5,917,384,0
布隆迪,1,729,640,1
巴布亚新几内亚,5,725,601,8
钻石号邮轮,0,712,699,13
厄立特里亚,0,711,564,0
摩纳哥,3,671,605,3
科摩罗,0,628,606,7
毛里求斯,8,523,489,10
坦桑尼亚,0,509,183,21
不丹,1,438,404,0
柬埔寨,3,362,312,0
巴巴多斯,4,296,272,7
圣卢西亚,3,278,240,4
塞舌尔,0,187,182,0
文莱,0,152,147,3
安提瓜和巴布达,0,148,138,5
圣文森特和格林纳丁斯,4,98,81,0
多米尼克,1,88,83,0
格林纳达,26,69,41,0
斐济,2,46,38,2
老挝,0,41,34,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
圣基茨和尼维斯,1,28,23,0
梵蒂冈,0,27,15,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
