country,increased,total,cure,dead
爱沙尼亚,544,16598,9945,141
莫桑比克,67,16440,14684,138
安哥拉,75,15804,8579,358
纳米比亚,174,15472,14195,155
刚果（金）,93,13843,12208,350
几内亚,42,13325,12548,79
塞浦路斯,419,13286,2057,68
马尔代夫,26,13274,12591,47
塔吉克斯坦,40,12551,11968,88
博茨瓦纳,0,12058,9400,36
牙买加,98,11369,7390,266
佛得角,74,11192,10760,109
津巴布韦,95,11007,9147,304
马耳他,106,10884,8848,164
毛里塔尼亚,229,10105,7925,202
海地,35,9434,8170,233
加蓬,22,9300,9155,62
古巴,124,9106,8137,136
叙利亚,95,8675,4114,465
伯利兹,506,8519,4075,183
乌拉圭,298,8104,5564,87
巴哈马,6,7585,6032,163
安道尔,35,7162,6452,78
特立尼达和多巴哥,26,6808,6036,122
斯威士兰,49,6612,6175,125
卢旺达,41,6278,5715,53
马拉维,0,6051,5487,186
刚果（布）,275,6049,4988,99
尼加拉瓜,49,5887,4225,162
圭亚那,32,5732,4888,154
吉布提,9,5717,5599,61
冰岛,8,5524,5313,28
马里,27,5469,3454,181
苏里南,7,5333,5217,117
赤道几内亚,17,5183,5048,85
中非共和国,5,4927,1924,63
索马里,0,4579,3529,121
泰国,18,4169,3888,60
冈比亚,4,3776,3631,123
布基纳法索,154,3469,2742,69
多哥,19,3151,2699,65
贝宁,17,3090,2972,44
几内亚比绍,0,2444,2337,44
塞拉利昂,6,2434,1847,74
莱索托,14,2164,1283,44
新西兰,3,2088,2008,25
也门,1,2079,1383,606
尼日尔,91,2078,1241,79
圣马力诺,34,1834,1492,49
乍得,3,1732,1581,102
利比里亚,0,1676,1358,83
列支敦士登公国,9,1441,1282,19
越南,4,1385,1225,35
蒙古,5,898,384,0
布隆迪,4,720,630,1
钻石号邮轮,0,712,699,13
巴布亚新几内亚,0,684,601,7
摩纳哥,7,655,585,3
厄立特里亚,0,649,517,0
科摩罗,1,617,605,7
毛里求斯,4,515,478,10
坦桑尼亚,0,509,183,21
不丹,1,433,395,0
柬埔寨,2,356,307,0
巴巴多斯,3,290,264,7
圣卢西亚,0,270,169,2
塞舌尔,0,184,168,0
文莱,0,152,147,3
安提瓜和巴布达,0,146,138,4
圣文森特和格林纳丁斯,1,91,80,0
多米尼克,0,85,76,0
斐济,0,44,35,2
格林纳达,0,43,41,0
老挝,0,41,33,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,0,25,23,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
