country,increased,total,cure,dead
圣文森特和格林纳丁斯,3,90,80,0
多米尼克,0,85,72,0
斐济,0,44,35,2
格林纳达,0,43,41,0
老挝,0,41,28,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,0,25,21,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
