country,increased,total,cure,dead
毛里求斯,0,515,478,10
坦桑尼亚,0,509,183,21
不丹,1,437,400,0
柬埔寨,2,359,307,0
巴巴多斯,1,292,269,7
圣卢西亚,4,274,197,4
塞舌尔,0,187,182,0
文莱,0,152,147,3
安提瓜和巴布达,1,148,138,4
圣文森特和格林纳丁斯,0,94,81,0
多米尼克,2,87,81,0
斐济,0,44,35,2
格林纳达,0,43,41,0
老挝,0,41,33,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,1,27,23,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
